ID,IDADE,FAIXA IDADE,GENERO,COR/RACA/ETNIA,PCD,EXPERIENCIA_PROFISSIONAL_PREJUDICADA,ASPECTOS_PREJUDICADOS,VIVE_NO_BRASIL,ESTADO ONDE MORA,UF ONDE MORA,REGIAO ONDE MORA,MUDOU DE ESTADO?,REGIAO DE ORIGEM,NIVEL DE ENSINO,ÁREA DE FORMAÇÃO,QUAL SUA SITUAÇÃO ATUAL DE TRABALHO?,SETOR,NUMERO DE FUNCIONARIOS,GESTOR?,CARGO COMO GESTOR,CARGO ATUAL,NIVEL,FAIXA SALARIAL,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE DADOS VOCÊ TEM?,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE TI/ENGENHARIA DE SOFTWARE VOCÊ TEVE ANTES DE COMEÇAR A TRABALHAR NA ÁREA DE DADOS?
g4wf3gsdv794g4wf04t3ya9kn6hjwuev,32,30-34,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Mestrado,Outras Engenharias,Empregado (CLT),Marketing,Acima de 3.000,FALSE,,Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
g4tfp7flz943u1kg4tf274ys1dztxm1k,25,25-29,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,FALSE,Nordeste,Pós-graduação,Outra opção,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,FALSE,,Analista de BI/BI Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Menos de 1 ano
g4m5bm7fgi407sg4m5bm7f04d40sj4sg,28,25-29,Masculino,Branca,Não,,,TRUE,Minas Gerais (MG),MG,Sudeste,TRUE,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área da Saúde,de 101 a 500,FALSE,,Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,de 1 a 2 anos
g4c1sumx89hd4yezbg4c189w1b2lpv2o,31,30-34,Feminino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Minas Gerais (MG),MG,Sudeste,TRUE,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,Acima de 3.000,FALSE,,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 1 a 2 anos
g3ibzmb2cx9p2g3i84ayix4bs8nyvokl,33,30-34,Masculino,Branca,Não,,,FALSE,,,,,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Tecnologia/Fábrica de Software,de 501 a 1.000,FALSE,,Engenheiro de Machine Learning/ML Engineer,Pleno,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 6 anos,Mais de 10 anos
g3hr560j559m1ethqsg3h0sf94i43zfq,20,17-21,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),,,,,,,,,
g34cjln2cwakzobbpbe69g34cjln4ygb,33,30-34,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",TRUE,Rio de Janeiro (RJ),RJ,Sudeste,TRUE,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Varejo,de 501 a 1.000,FALSE,,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
g2rvwg041dnhvuccclapg2rvkdf0tjuz,43,40-44,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,TRUE,Gerente/Head,,,de R$ 30.001/mês a R$ 40.000/mês,de 4 a 6 anos,Mais de 10 anos
g2ruvkcwbmzbvg2ruwd8k4855fq3i44y,31,30-34,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Não tenho graduação formal,,Empregado (CLT),Internet/Ecommerce,Acima de 3.000,FALSE,,Outra Opção,Pleno,de R$ 2.001/mês a R$ 3.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
g2pnn1fqrmsfoo2s9g2pnnxtbu55crp0,29,25-29,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,FALSE,,Analista de BI/BI Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 5 a 6 anos
g2lqlxntf1glst05qplg2lqlxn8ai496,25,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência",TRUE,Rio Grande do Norte (RN),RN,Nordeste,TRUE,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área de Consultoria,Acima de 3.000,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,de 5 a 6 anos
g2g2gnkd3crki075fg2g2g74mejq8by1,22,22-24,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",Oportunidades de progressão de carreira,TRUE,Mato Grosso do Sul (MS),MS,Centro-oeste,TRUE,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Varejo,de 6 a 10,FALSE,,Analista de BI/BI Analyst,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Menos de 1 ano
g1zicmapnr11ft79v3xsg1zicmapydek,34,30-34,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero","Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho",TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Servidor Público,Setor Público,Acima de 3.000,FALSE,,Analista de Suporte/Analista Técnico,Pleno,de R$ 2.001/mês a R$ 3.000/mês,de 3 a 4 anos,Menos de 1 ano
